"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted"
"2015-07-06",38,39.75,36,36.7099990844727,5866600,36.5147743225098
"2015-07-07",37.7200012207031,37.810001373291,36,36.6199989318848,7359000,36.4252548217773
"2015-07-08",36.3400001525879,36.3600006103516,34.5299987792969,34.7000007629395,5387700,34.5154647827148
"2015-07-09",35.0999984741211,35.5200004577637,33.9900016784668,34.5,3760100,34.3165283203125
"2015-07-10",34.6599998474121,35.189998626709,33.9799995422363,34.689998626709,4472800,34.5055160522461
"2015-07-13",35.5900001525879,37.5,35.5,36.7799987792969,7626000,36.584400177002
"2015-07-14",36.9900016784668,37.7400016784668,36.5999984741211,36.9300003051758,4653300,36.7336082458496
"2015-07-15",37.9799995422363,38.2000007629395,37.0299987792969,37.5099983215332,13072800,37.3105201721191
"2015-07-16",38.8199996948242,39.9700012207031,38.0800018310547,38.6300010681152,21348500,38.4245681762695
"2015-07-17",39.4199981689453,40.2000007629395,38.1800003051758,38.3899993896484,45720200,38.1858406066895
"2015-07-20",41.4599990844727,42.5499992370605,39.7999992370605,40.4700012207031,52286500,40.2547798156738
"2015-07-21",41.0800018310547,41.1100006103516,39.1199989318848,39.3499984741211,32954600,39.1407356262207
"2015-07-22",39.3499984741211,39.7200012207031,38.0999984741211,38.3899993896484,25363900,38.1858406066895
"2015-07-23",38.7400016784668,38.75,36.9300003051758,37.0099983215332,19250200,36.8131790161133
"2015-07-24",37.7099990844727,38,36.9099998474121,37,14274300,36.8032341003418
"2015-07-27",36.7799987792969,37.3800010681152,36.2200012207031,36.3899993896484,16179900,36.196475982666
"2015-07-28",37.189998626709,38,36.8300018310547,37.5999984741211,18986000,37.4000434875488
"2015-07-29",38.0299987792969,38.0999984741211,37.6199989318848,37.9500007629395,11788400,37.7481842041016
"2015-07-30",38.0400009155273,39.0099983215332,37.7150001525879,38.4500007629395,13845100,38.2455253601074
"2015-07-31",39.1399993896484,39.2000007629395,38.2200012207031,38.7000007629395,12480600,38.4941940307617
"2015-08-03",39.25,39.8800010681152,38.9000015258789,39.3899993896484,15126600,39.1805229187012
